Name,Muscle,Equipment,Type,Video,Image1,Image2,Rating
One-Arm Medicine Ball Slam,Abdominals,Medicine Ball,Strength,https://videos.bodybuilding.com/video/mp4/104000/105312m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2081/Male/m/2081_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2081/Male/m/2081_2.jpg,9.5
Weighted Suitcase Crunch,Abdominals,Medicine Ball,Strength,https://videos.bodybuilding.com/video/mp4/116000/116582m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2813/Male/m/2813_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2813/Male/m/2813_2.jpg,9
Weighted Crunches,Abdominals,Medicine Ball,Strength,https://videos.bodybuilding.com/video/mp4/94000/94802m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/926/Male/m/926_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/926/Male/m/926_2.jpg,8.9
Supine Two-Arm Overhead Throw,Abdominals,Medicine Ball,Plyometrics,https://videos.bodybuilding.com/video/mp4/90000/91792m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/840/Male/m/840_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/840/Male/m/840_2.jpg,5.3
Partner 3-Touch Motion Russian Twist,Abdominals,Medicine Ball,Strength,https://videos.bodybuilding.com/video/mp4/118000/118721m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3561/Male/m/3561_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3561/Male/m/3561_2.jpg,na
Partner Side-To-Side Russian Twist & Pass,Abdominals,Medicine Ball,Strength,https://videos.bodybuilding.com/video/mp4/118000/118711m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3571/Male/m/3571_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3571/Male/m/3571_2.jpg,na
Medicine Ball Rotational Throw,Abdominals,Medicine Ball,Strength,https://videos.bodybuilding.com/video/mp4/118000/118891m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3821/Male/m/3821_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3821/Male/m/3821_2.jpg,na
Medicine Ball Full Twist,Abdominals,Medicine Ball,Plyometrics,https://videos.bodybuilding.com/video/mp4/90000/91632m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/802/Male/m/802_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/802/Male/m/802_2.jpg,na
Supine One-Arm Overhead Throw,Abdominals,Medicine Ball,Plyometrics,https://videos.bodybuilding.com/video/mp4/90000/91792m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/839/Male/m/839_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/839/Male/m/839_2.jpg,na
V-Sit Lying Down Ball Throw And Catch,Abdominals,Medicine Ball,Strength,https://videos.bodybuilding.com/video/mp4/122000/122861m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4981/Male/m/4981_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4981/Male/m/4981_2.jpg,na
