Name,Muscle,Equipment,Type,Video,Image1,Image2,Rating
Butt Lift (Bridge),Glutes,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/28000/28681m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/99/Male/m/99_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/99/Male/m/99_2.jpg,8.8
Single Leg Glute Bridge,Glutes,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/94000/94732m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/915/Male/m/915_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/915/Male/m/915_2.jpg,8.8
Step-up with Knee Raise,Glutes,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/106000/107052m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2251/Male/m/2251_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2251/Male/m/2251_2.jpg,8.7
Glute Kickback,Glutes,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/32000/32321m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/98/Male/m/98_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/98/Male/m/98_2.jpg,8.3
Flutter Kicks,Glutes,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/28000/29271m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/100/Male/m/100_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/267/Male/m/267_2.jpg,8.3
Leg Lift,Glutes,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/28000/29571m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/100/Male/m/100_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/100/Male/m/100_2.jpg,6.5
Seated Glute,Glutes,Body Only,Stretching,https://videos.bodybuilding.com/video/mp4/60000/60462m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/620/Male/m/620_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/620/Male/m/620_2.jpg,3.1
Lying Glute,Glutes,Body Only,Stretching,https://videos.bodybuilding.com/video/mp4/60000/60132m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/605/Male/m/605_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/605/Male/m/605_2.jpg,3
Glute Bridge Hamstring Walkout,Glutes,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/116000/116502m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2823/Male/m/2823_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2823/Male/m/2823_2.jpg,na
Neck Bridge Supine,Glutes,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/116000/116552m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2853/Male/m/2853_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2853/Male/m/2853_2.jpg,na
Seated Glute Stretch,Glutes,Body Only,Stretching,https://videos.bodybuilding.com/video/mp4/118000/118331m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3063/Male/m/3063_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3063/Male/m/3063_2.jpg,na
