0,1,2
https://m.media-amazon.com/images/I/815trQ0iVNL._AC_UL320_ML3_.jpg,"Bodyfit 8-in-1 Home Gym Package Box Pack Bench, 50Kg Weight Set","4,599"
https://m.media-amazon.com/images/I/512vWqvxLDL._AC_UL320_ML3_.jpg,"Bodyfit 30Kg Weight Plates Home Gym Fitness Package 4 Rods,Gym Bag,Gym Accessories.","1,385"
https://m.media-amazon.com/images/I/71Eo77d1wpL._AC_UL320_ML3_.jpg,BodyFit Weight Plates 20 In 1 Bench Home Gym Fitness Package Exercise Sets (100 Kg),"8,675"
https://m.media-amazon.com/images/I/81DCAT+l6HL._AC_UL320_ML3_.jpg,Protoner 30kg Rubber Home Gym Package with 4 Rods,"91,749"
https://m.media-amazon.com/images/I/51gf673ruEL._AC_UL320_ML3_.jpg,"Protoner 30KG Combo of 5ft Rod,3ft Rod,2 D.Rods Home Gym and Fitness Kit (4bigh30a)","1,389"
https://m.media-amazon.com/images/I/51VYbb-vskL._AC_UL320_ML3_.jpg,"Protoner 30Kg Weight Plates,5Ft Rod,3Ft Curl Rod,2D.Rods Home Gym Dumbell Set,Accessories.","1,489"
https://m.media-amazon.com/images/I/71hPVZvN7UL._AC_UL320_ML3_.jpg,BodyFit 100KG Weight Plates 20 in 1 Bench Complete Home Gym Package.,"8,650"
https://m.media-amazon.com/images/I/51bUep6gngL._AC_UL320_ML3_.jpg,HASHTAG FITNESS Leather Combo-Wb Home Gym Kit (30 Kg),"1,569"
https://m.media-amazon.com/images/I/81eb5-gTydL._AC_UL320_ML3_.jpg,"Body Maxx 50KG Rubber Weight Plates Home Gym Fitness Package 4 RODS,Gym Bag,Gym Accessories.","2,840"
https://m.media-amazon.com/images/I/71TjXrIzixL._AC_UL320_ML3_.jpg,Protoner 20kg with 3 Rods PVC Weight Lifting Package,"1,348"
https://m.media-amazon.com/images/I/81Qf2wR6pzL._AC_UL320_ML3_.jpg,"Generic Home Gym Combo, 20Kg",950
