Name,Muscle,Equipment,Type,Video,Image1,Image2,Rating
Plank,Abdominals,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/90000/91032m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/908/Male/m/908_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/908/Male/m/908_2.jpg,9.3
Bottoms Up,Abdominals,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/104000/105252m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2021/Male/m/2021_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2021/Male/m/2021_2.jpg,9.3
Decline Reverse Crunch,Abdominals,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/32000/32181m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/194/Male/m/194_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/194/Male/m/194_2.jpg,9.2
Spider Crawl,Abdominals,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/104000/105292m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2061/Male/m/2061_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2061/Male/m/2061_2.jpg,9.2
Cross-Body Crunch,Abdominals,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/28000/28791m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/124/Male/m/124_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/124/Male/m/124_2.jpg,9.1
Elbow to Knee,Abdominals,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/104000/105262m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2031/Male/m/2031_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2031/Male/m/2031_2.jpg,9.1
Cocoons,Abdominals,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/104000/105242m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2011/Male/m/2011_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2011/Male/m/2011_2.jpg,9.1
Gorilla Chin/Crunch,Abdominals,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/32000/32331m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/183/Male/m/183_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/183/Male/m/183_2.jpg,9
Decline Crunch,Abdominals,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/54000/54821m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/193/Male/m/193_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/193/Male/m/193_2.jpg,9
Hanging Pike,Abdominals,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/118000/119811m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/233/Male/m/233_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/233/Male/m/233_2.jpg,9
Hanging Oblique Knee Raise,Abdominals,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/28000/29401m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3273/Male/m/3273_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3273/Male/m/3273_2.jpg,9
Hanging Leg Raise,Abdominals,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/28000/29401m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/222/Male/m/222_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/222/Male/m/222_2.jpg,8.9
Reverse Crunch,Abdominals,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/30000/30261m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/119/Male/m/119_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/119/Male/m/119_2.jpg,8.8
Air Bike,Abdominals,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/24000/25571m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/209/Male/m/209_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/209/Male/m/209_2.jpg,8.8
3/4 Sit-Up,Abdominals,Body Only,Strength,https://videos.bodybuilding.com/video/mp4/104000/105232m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2001/Male/m/2001_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2001/Male/m/2001_2.jpg,8.8
