Name,Muscle,Equipment,Type,Video,Image1,Image2,Rating
Standing Cable Lift,Abdominals,Cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95621m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/936/Male/m/936_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/936/Male/m/936_2.jpg,9.3
One-Arm High-Pulley Cable Side Bends,Abdominals,Cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95561m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/933/Male/m/933_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/933/Male/m/933_2.jpg,9.1
Oblique Cable Crunch,Abdominals,Cable,Strength,https://videos.bodybuilding.com/video/mp4/116000/117601m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3293/Male/m/3293_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3293/Male/m/3293_2.jpg,9
Cable Crunch,Abdominals,Cable,Strength,https://videos.bodybuilding.com/video/mp4/30000/31891m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/163/Male/m/163_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/163/Male/m/163_2.jpg,8.9
Kneeling Cable Crunch With Alternating Oblique Twists,Abdominals,Cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95631m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/937/Male/m/937_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/937/Male/m/937_2.jpg,8.9
Rope Crunch,Abdominals,Cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/94202m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/888/Male/m/888_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/888/Male/m/888_2.jpg,8.6
Standing Rope Crunch,Abdominals,Cable,Strength,https://videos.bodybuilding.com/video/mp4/104000/105322m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2091/Male/m/2091_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2091/Male/m/2091_2.jpg,8.6
Bosu Ball Cable Crunch With Side Bends,Abdominals,Cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95541m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/932/Male/m/932_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/932/Male/m/932_2.jpg,8.5
Pallof Press,Abdominals,Cable,Strength,https://videos.bodybuilding.com/video/mp4/112000/112432m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2713/Male/m/2713_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2713/Male/m/2713_2.jpg,8.4
Cable Reverse Crunch,Abdominals,Cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95651m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/938/Male/m/938_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/938/Male/m/938_2.jpg,8.2
Standing Cable Wood Chop,Abdominals,Cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95601m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/935/Male/m/935_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/935/Male/m/935_2.jpg,8.2
Cable Russian Twists,Abdominals,Cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95681m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/940/Male/m/940_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/940/Male/m/940_2.jpg,8.1
Pallof Press With Rotation,Abdominals,Cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95581m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/934/Male/m/934_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/934/Male/m/934_2.jpg,7.9
Cable Seated Crunch,Abdominals,Cable,Strength,https://videos.bodybuilding.com/video/mp4/30000/31991m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/316/Male/m/316_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/316/Male/m/316_2.jpg,7.7
Cable Judo Flip,Abdominals,Cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95671m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/939/Male/m/939_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/939/Male/m/939_2.jpg,5
