Name,Muscle,Equipment,Type,Video,Image1,Image2,Rating
Suspended Fallout,Abdominals,Other,Strength,https://videos.bodybuilding.com/video/mp4/110000/111382m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2723/Male/m/2723_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2723/Male/m/2723_2.jpg,9.3
Plate Twist,Abdominals,Other,Strength,https://videos.bodybuilding.com/video/mp4/30000/30101m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/m/106_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/m/106_2.jpg,9
Ab Roller,Abdominals,Other,Strength,https://videos.bodybuilding.com/video/mp4/24000/25561m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/110/Male/m/110_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/110/Male/m/110_2.jpg,8.9
Otis-Up,Abdominals,Other,Strength,https://videos.bodybuilding.com/video/mp4/104000/105302m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2071/Male/m/2071_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2071/Male/m/2071_2.jpg,8.8
Knee/Hip Raise On Parallel Bars,Abdominals,Other,Strength,https://videos.bodybuilding.com/video/mp4/32000/33401m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/340/Male/m/340_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/340/Male/m/340_2.jpg,8.6
Sledgehammer Swings,Abdominals,Other,Plyometrics,https://videos.bodybuilding.com/video/mp4/100000/100382m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/916/Male/m/916_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/916/Male/m/916_2.jpg,8.6
Weighted Sit-Ups - With Bands,Abdominals,Other,Strength,https://videos.bodybuilding.com/video/mp4/32000/32751m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/262/Male/m/262_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/262/Male/m/262_2.jpg,8
Suspended Reverse Crunch,Abdominals,Other,Strength,https://videos.bodybuilding.com/video/mp4/98000/99962m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1401/Male/m/1401_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1401/Male/m/1401_2.jpg,7.8
Waiter's Carry,Abdominals,Other,Strength,https://videos.bodybuilding.com/video/mp4/120000/120411m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4311/Male/m/4311_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4311/Male/m/4311_2.jpg,na
Skin The Cat To Push-Up,Abdominals,Other,Strength,https://videos.bodybuilding.com/video/mp4/122000/122611m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4651/Male/m/4651_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4651/Male/m/4651_2.jpg,na
