Name,Muscle,Equipment,Type,Video,Image1,Image2,Rating
Wide-Grip Standing Barbell Curl,Biceps,Barbell,Strength,https://videos.bodybuilding.com/video/mp4/32000/32721m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/287/Male/m/287_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/287/Male/m/287_1.jpg,9.3
Barbell Curl,Biceps,Barbell,Strength,https://videos.bodybuilding.com/video/mp4/24000/25681m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/169/Male/m/169_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/169/Male/m/169_1.jpg,9
Close-Grip EZ Bar Curl,Biceps,Barbell,Strength,https://videos.bodybuilding.com/video/mp4/28000/28741m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/238/Male/m/238_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/238/Male/m/238_1.jpg,8.9
Barbell Curls Lying Against An Incline,Biceps,Barbell,Strength,https://videos.bodybuilding.com/video/mp4/24000/25691m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/300/Male/m/300_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/300/Male/m/300_2.jpg,8.8
Preacher Curl,Biceps,Barbell,Strength,https://videos.bodybuilding.com/video/mp4/30000/30141m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/180/Male/m/180_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/180/Male/m/180_2.jpg,8.8
Seated Close-Grip Concentration Barbell Curl,Biceps,Barbell,Strength,https://videos.bodybuilding.com/video/mp4/30000/30451m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/309/Male/m/309_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/309/Male/m/309_1.jpg,8.8
Close-Grip Standing Barbell Curl,Biceps,Barbell,Strength,https://videos.bodybuilding.com/video/mp4/28000/28751m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/276/Male/m/276_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/276/Male/m/276_1.jpg,8.6
Drag Curl,Biceps,Barbell,Strength,https://videos.bodybuilding.com/video/mp4/54000/54841m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/174/Male/m/174_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/174/Male/m/174_2.jpg,8.5
Reverse Barbell Curl,Biceps,Barbell,Strength,https://videos.bodybuilding.com/video/mp4/30000/30231m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/9/Male/m/9_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/9/Male/m/9_1.jpg,8.2
Lying High Bench Barbell Curl,Biceps,Barbell,Strength,https://videos.bodybuilding.com/video/mp4/28000/29641m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/298/Male/m/298_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/298/Male/m/298_2.jpg,5.8
Seated Straight-Bar Curl Superset,Biceps,Barbell,Strength,https://videos.bodybuilding.com/video/mp4/122000/122781m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/5031/Male/m/5031_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/5031/Male/m/5031_3.jpg,na
