Name,Muscle,Equipment,Type,Video,Image1,Image2,Rating
Incline Hammer Curls,Biceps,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/94000/94182m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/882/Male/m/882_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/882/Male/m/882_1.jpg,9.5
Hammer Curls,Biceps,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/28000/29371m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/147/Male/m/147_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/147/Male/m/147_2.jpg,9.1
Zottman Curl,Biceps,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/32000/32621m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/204/Male/m/204_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/204/Male/m/204_2.jpg,9.1
Biceps Curl To Shoulder Press,Biceps,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/120000/120061m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4101/Male/m/4101_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4101/Male/m/4101_2.jpg,9.1
Concentration Curls,Biceps,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/32000/32091m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/136/Male/m/136_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/136/Male/m/136_1.jpg,9
Flexor Incline Dumbbell Curls,Biceps,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/28000/29261m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/285/Male/m/285_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/285/Male/m/285_2.jpg,9
Dumbbell Bicep Curl,Biceps,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/28000/28911m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/223/Male/m/223_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/223/Male/m/223_2.jpg,8.9
Cross Body Hammer Curl,Biceps,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/28000/28771m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/236/Male/m/236_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/236/Male/m/236_2.jpg,8.9
Alternate Incline Dumbbell Curl,Biceps,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/24000/25601m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/125/Male/m/125_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/125/Male/m/125_1.jpg,8.7
Dumbbell Alternate Bicep Curl,Biceps,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/28000/28901m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/234/Male/m/234_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/234/Male/m/234_1.jpg,8.7
One Arm Dumbbell Preacher Curl,Biceps,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/28000/29851m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/255/Male/m/255_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/255/Male/m/255_2.jpg,8.7
Standing Concentration Curl,Biceps,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/104000/104102m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1671/Male/m/1671_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1671/Male/m/1671_2.jpg,8.7
Incline Dumbbell Curl,Biceps,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/32000/32401m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/114/Male/m/114_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/114/Male/m/114_2.jpg,8.6
Preacher Hammer Dumbbell Curl,Biceps,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/30000/30151m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/155/Male/m/155_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/155/Male/m/155_1.jpg,8.6
Alternate Hammer Curl,Biceps,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/54000/54621m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/158/Male/m/158_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/158/Male/m/158_1.jpg,8.6
